ID,順位2010,選手名2010,チーム2010,防御率2010,試合2010,勝利2010,敗北2010,セlブ2010,ホlルド2010,勝率2010,打者2010,投球回2010,被安打2010,被本塁打2010,与四球2010,与死球2010,奪三振2010,失点2010,自責点2010,WHIP2010,DIPS2010
277,1,ロメロ,巨人,0.00,6,1,0,0,0,1.0,30,7.2,7,1,0,0,9,3,0,0.91,2.47
893,1,松永　浩典,西武,0.00,6,0,1,0,0,0.0,18,3.2,5,0,3,0,1,1,0,2.18,4.21
443,1,土屋　朋弘,楽天,0.00,3,0,0,0,0,0.0,9,3.0,0,0,0,0,1,0,0,0.00,2.45
517,1,山室　公志郎,ロッテ,0.00,1,0,0,0,0,0.0,10,2.0,1,0,2,1,0,2,0,1.50,7.62
699,1,ジェン,阪神,0.00,1,0,0,0,0,0.0,4,1.0,1,0,1,0,0,0,0,2.00,6.12
100,1,上野　貴久,巨人,0.00,1,0,0,0,0,0.0,2,0.2,0,0,0,0,0,0,0,0.00,3.12
84,1,ユウキ,ヤクルト,0.00,1,0,0,0,0,0.0,1,0.1,0,0,0,0,1,0,0,0.00,-2.88
144,1,矢地　健人,中日,0.00,1,0,0,0,0,0.0,3,0.1,1,0,0,1,0,0,0,3.00,12.12
47,9,宮本　賢,日本ハム,-,1,0,0,0,0,0.0,1,0.0,1,0,0,0,0,0,0,-,-
259,10,ファルケンボーグ,ソフトバンク,1.02,60,3,2,1,39,0.6,230,62.0,39,0,8,0,83,10,7,0.76,0.83
212,11,高木　康成,巨人,1.09,21,1,1,0,3,0.5,100,24.2,15,1,11,2,19,3,3,1.05,3.57
38,12,牛田　成樹,横浜,1.21,41,2,1,0,23,0.667,213,52.0,28,4,28,1,69,9,7,1.08,3.08
255,13,比嘉　幹貴,オリックス,1.25,24,2,1,0,2,0.667,78,21.2,14,0,1,1,12,3,3,0.69,2.29
815,14,菊地　和正,日本ハム,1.45,17,1,1,0,1,0.5,80,18.2,18,0,6,0,13,4,3,1.29,2.37
587,15,林　昌勇,ヤクルト,1.46,53,1,2,35,6,0.33299999999999996,214,55.2,32,3,16,2,53,9,9,0.86,2.83
508,16,西川　雅人,オリックス,1.50,4,0,0,0,0,0.0,25,6.0,5,0,2,0,1,1,1,1.17,3.79
