ID,順位2018,選手名2018,チーム2018,防御率2018,試合2018,勝利2018,敗北2018,セlブ2018,ホlルド2018,勝率2018,打者2018,投球回2018,被安打2018,被本塁打2018,与四球2018,与死球2018,奪三振2018,失点2018,自責点2018,WHIP2018,DIPS2018
38,1,小川　龍也,西武,0.00,6,0,0,0,2,0.0,14,4.0,3,0,0,0,3,0,0,0.75,1.62
106,1,岩嵜　翔,ソフトバンク,0.00,2,1,0,0,1,1.0,5,2.0,0,0,0,0,2,0,0,0.00,1.12
810,1,青山　大紀,オリックス,0.00,2,0,0,0,0,0.0,8,1.2,0,0,4,0,2,0,0,2.40,7.92
254,1,田川　賢吾,ヤクルト,0.00,1,0,0,0,0,0.0,4,1.0,0,0,1,0,1,0,0,1.00,4.12
815,1,カンポス,広島,0.00,1,0,0,0,0,0.0,4,1.0,1,0,1,0,0,0,0,2.00,6.12
747,6,嘉弥真　新也,ソフトバンク,1.01,54,2,1,0,21,0.667,101,26.2,11,1,7,2,24,5,3,0.68,2.71
272,7,比嘉　幹貴,オリックス,1.11,36,0,2,1,8,0.0,118,32.1,18,2,6,2,21,4,4,0.74,3.00
32,8,西宮　悠介,楽天,1.23,6,0,0,0,1,0.0,31,7.1,2,0,8,1,8,1,1,1.36,4.62
102,9,宮西　尚生,日本ハム,1.37,48,4,1,0,32,0.8,158,39.1,23,1,15,4,36,8,6,0.97,2.92
746,10,公文　克彦,日本ハム,1.47,50,2,0,0,10,1.0,201,49.0,43,3,12,0,47,10,8,1.12,2.55
492,11,東明　大貴,オリックス,1.62,3,0,2,0,0,0.0,62,16.2,17,0,0,0,10,3,3,1.02,1.92
421,12,フランスア,広島,1.65,37,2,3,1,16,0.4,221,54.2,29,2,26,1,71,14,10,1.01,2.42
292,13,メルセデス,巨人,1.66,8,5,2,0,0,0.7140000000000001,230,59.2,44,2,11,1,34,14,11,0.92,3.02
758,14,今野　龍太,楽天,1.80,3,0,0,0,0,0.0,22,5.0,4,0,4,0,6,1,1,1.60,2.52
890,15,久保　裕也,楽天,1.90,22,1,0,1,3,1.0,101,23.2,20,4,10,1,18,6,5,1.27,5.06
39,16,宮國　椋丞,巨人,1.97,29,0,0,0,4,0.0,133,32.0,27,4,10,3,25,8,7,1.16,4.40
