,登録名,チーム2018,WHIP2018,WHIP2017,WHIP2016,WHIP2015,WHIP2014,WHIP2013,WHIP2012,WHIP2011,WHIP2010,WHIP2009
414,髙橋　朋己,西武,-,1.88,1.5,,,,,,,
497,岩嵜　翔,ソフトバンク,0.00,0.98,1.07,1.41,1.27,1.35,1.16,1.16,1.75,1.85
809,小川　龍也,西武,0.27,1.30,0.95,2.00,1.86,1.67,1.25,0.0,,
123,齋藤　綱記,オリックス,0.38,,2.0,,,,,,,
841,杉浦　稔大,日本ハム,0.65,0.86,1.94,1.51,1.09,,,,,
345,嘉弥真　新也,ソフトバンク,0.68,1.29,1.77,1.27,1.45,0.99,2.54,,,
255,比嘉　幹貴,オリックス,0.72,0.72,1.71,3.60,1.15,1.06,0.80,1.5,0.69,
694,ヒース,西武,0.82,,,1.25,1.18,,,,,
158,山田　修義,オリックス,0.85,2.51,1.41,1.84,,3.00,1.62,,2.00,
251,大下　佑馬,ヤクルト,0.91,,,,,,,,,
388,メルセデス,巨人,0.92,,,,,,,,,
519,岸　孝之,楽天,0.93,1.02,1.22,0.91,1.00,1.04,0.96,1.26,1.11,1.23
466,大瀬良　大地,広島,0.95,1.28,0.97,1.30,1.36,,,,,
175,山本　由伸,オリックス,0.95,1.65,,,,,,,,
225,宮西　尚生,日本ハム,0.99,1.13,1.06,1.00,1.40,1.20,1.08,0.98,0.80,1.16
390,田川　賢吾,ヤクルト,1.00,,,,,,,,,
816,椎野　新,ソフトバンク,1.00,,,,,,,,,
713,フランスア,広島,1.01,,,,,,,,,
722,松本　裕樹,ソフトバンク,1.02,1.54,1.0,,,,,,,
351,マシソン,巨人,1.02,1.02,1.09,1.17,1.26,0.89,0.98,,,
740,佐藤　優,中日,1.03,1.73,1.56,,,,,,,
165,岩瀬　仁紀,中日,1.03,1.43,1.65,,1.53,1.26,1.12,1.23,1.25,1.16
25,上原　浩治,巨人,1.03,,,,,,,,,
307,ミランダ,ソフトバンク,1.03,,,,,,,,,
208,菊池　雄星,西武,1.04,0.91,1.29,1.14,1.51,1.14,1.23,1.31,,
538,菅野　智之,巨人,1.06,0.85,0.99,1.06,1.10,1.15,,,,
849,平井　克典,西武,1.07,1.18,,,,,,,,
333,上沢　直之,日本ハム,1.08,1.27,,1.39,1.17,,,,,
184,近藤　大亮,オリックス,1.08,1.08,1.67,,,,,,,
332,井口　和朋,日本ハム,1.08,1.15,1.17,,,,,,,
157,石山　泰稚,ヤクルト,1.09,1.17,1.5,1.40,1.44,1.51,,,,
219,益田　直也,ロッテ,1.09,1.73,1.17,1.30,1.41,1.31,1.06,,,
667,東明　大貴,オリックス,1.09,1.38,1.73,1.17,1.38,,,,,
361,岸田　護,オリックス,1.09,1.33,1.9,1.12,1.06,1.07,1.19,1.17,1.25,1.11
808,二木　康太,ロッテ,1.10,1.19,1.52,1.20,,,,,,
593,青山　浩二,楽天,1.11,1.15,1.53,0.95,1.37,1.34,1.04,1.14,1.18,1.52
829,アルバース,オリックス,1.11,,,,,,,,,
701,佐藤　祥万,広島,1.11,1.65,2.57,,,1.77,1.71,1.75,0.71,
745,玉井　大翔,日本ハム,1.11,0.99,,,,,,,,
280,澤田　圭佑,オリックス,1.11,1.46,,,,,,,,
155,田原　誠次,巨人,1.11,1.39,1.43,1.11,0.75,1.44,1.25,,,
771,山﨑　康晃,DeNA,1.11,0.99,1.39,,,,,,,
168,公文　克彦,日本ハム,1.12,1.28,1.11,,,1.67,,,,
