,登録名,チーム2018,勝利2018,勝利2017,勝利2016,勝利2015,勝利2014,勝利2013,勝利2012,勝利2011,勝利2010,勝利2009
493,大瀬良　大地,広島,15.0,10.0,3.0,3.0,10.0,,,,,
332,ボルシンガー,ロッテ,13.0,,,,,,,,,
58,多和田　真三郎,西武,13.0,5.0,7.0,,,,,,,
622,ガルシア,中日,12.0,,,,,,,,,
453,千賀　滉大,ソフトバンク,11.0,13.0,12.0,2.0,1.0,1.0,0.0,,,
644,菅野　智之,巨人,11.0,17.0,9.0,10.0,12.0,13.0,,,,
234,メッセンジャー,阪神,11.0,11.0,12.0,9.0,13.0,12.0,10.0,12.0,5.0,
601,石川　柊太,ソフトバンク,11.0,8.0,,,,,,,,
503,上沢　直之,日本ハム,10.0,4.0,,5.0,8.0,,,,,
317,菊池　雄星,西武,10.0,16.0,12.0,9.0,5.0,9.0,4.0,4.0,,
802,ジョンソン,広島,10.0,6.0,15.0,14.0,,,,,,
849,アルバース,オリックス,9.0,,,,,,,,,
182,マルティネス,日本ハム,9.0,,,,,,,,,
624,バンデンハーク,ソフトバンク,9.0,13.0,7.0,9.0,,,,,,
178,榎田　大樹,西武,9.0,0.0,1.0,0.0,2.0,4.0,3.0,3.0,,
89,ブキャナン,ヤクルト,9.0,6.0,,,,,,,,
148,岸　孝之,楽天,9.0,8.0,9.0,5.0,13.0,11.0,11.0,8.0,10.0,13.0
610,石川　歩,ロッテ,9.0,3.0,14.0,12.0,10.0,,,,,
477,東　克樹,DeNA,9.0,,,,,,,,,
472,西　勇輝,オリックス,8.0,5.0,10.0,10.0,12.0,9.0,8.0,10.0,0.0,0.0
603,有原　航平,日本ハム,8.0,10.0,11.0,8.0,,,,,,
500,山口　俊,巨人,8.0,1.0,11.0,3.0,8.0,5.0,1.0,2.0,2.0,5.0
789,岡田　明丈,広島,7.0,12.0,4.0,,,,,,,
733,小野　泰己,阪神,7.0,2.0,,,,,,,,
800,カスティーヨ,西武,7.0,,,,,,,,,
565,九里　亜蓮,広島,7.0,9.0,2.0,0.0,2.0,,,,,
478,中尾　輝,ヤクルト,7.0,0.0,,,,,,,,
516,田嶋　大樹,オリックス,6.0,,,,,,,,,
387,則本　昂大,楽天,6.0,15.0,11.0,10.0,14.0,15.0,,,,
700,カラシティー,ヤクルト,6.0,,,,,,,,,
522,野村　祐輔,広島,6.0,9.0,16.0,5.0,7.0,12.0,9.0,,,
123,三嶋　一輝,DeNA,6.0,0.0,1.0,5.0,1.0,6.0,,,,
23,吉川　光夫,巨人,6.0,1.0,7.0,11.0,3.0,7.0,14.0,0.0,0.0,0.0
295,石川　雅規,ヤクルト,6.0,4.0,8.0,13.0,10.0,6.0,8.0,10.0,13.0,13.0
887,小川　泰弘,ヤクルト,6.0,8.0,8.0,11.0,9.0,16.0,,,,
895,有吉　優樹,ロッテ,6.0,2.0,,,,,,,,
276,高梨　裕稔,日本ハム,5.0,7.0,10.0,0.0,,,,,,
50,村田　透,日本ハム,5.0,1.0,,,,,,,,
144,山岡　泰輔,オリックス,5.0,8.0,,,,,,,,
165,メルセデス,巨人,5.0,,,,,,,,,
784,小笠原　慎之介,中日,5.0,5.0,2.0,,,,,,,
616,近藤　一樹,ヤクルト,5.0,2.0,,1.0,0.0,0.0,0.0,3.0,5.0,9.0
129,アドゥワ　誠,広島,5.0,,,,,,,,,
376,中田　賢一,ソフトバンク,5.0,7.0,7.0,9.0,11.0,4.0,7.0,2.0,7.0,5.0
596,涌井　秀章,ロッテ,5.0,5.0,10.0,15.0,8.0,5.0,1.0,9.0,14.0,16.0
14,秋山　拓巳,阪神,5.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,
591,今村　信貴,巨人,5.0,0.0,3.0,,2.0,1.0,,,,
442,京山　将弥,DeNA,5.0,,,,,,,,,
66,内海　哲也,巨人,5.0,2.0,9.0,2.0,7.0,13.0,15.0,18.0,11.0,9.0
