,登録名,チーム2018,総負け数,敗北2018,敗北2017,敗北2016,敗北2015,敗北2014,敗北2013,敗北2012,敗北2011,敗北2010,敗北2009
450,石川　雅規,ヤクルト,90.0,5.0,14.0,8.0,9.0,10.0,9.0,11.0,9.0,8.0,7.0
662,涌井　秀章,ロッテ,84.0,7.0,11.0,7.0,9.0,12.0,7.0,5.0,12.0,8.0,6.0
458,能見　篤史,阪神,81.0,2.0,6.0,12.0,13.0,13.0,7.0,10.0,9.0,0.0,9.0
74,メッセンジャー,阪神,77.0,7.0,5.0,11.0,12.0,10.0,8.0,11.0,7.0,6.0,
519,岸　孝之,楽天,67.0,3.0,10.0,7.0,6.0,4.0,5.0,12.0,9.0,6.0,5.0
634,金子　千尋,オリックス,66.0,7.0,8.0,9.0,6.0,5.0,8.0,3.0,4.0,8.0,8.0
26,スタンリッジ,,65.0,,6.0,8.0,7.0,8.0,12.0,12.0,7.0,5.0,
153,成瀬　善久,,65.0,,1.0,2.0,8.0,11.0,4.0,11.0,12.0,11.0,5.0
195,前田　健太,,65.0,,,,8.0,9.0,7.0,7.0,12.0,8.0,14.0
281,西　勇輝,オリックス,63.0,11.0,6.0,12.0,6.0,10.0,8.0,3.0,7.0,0.0,0.0
672,内海　哲也,巨人,63.0,4.0,7.0,6.0,1.0,9.0,6.0,6.0,5.0,8.0,11.0
366,岩田　稔,阪神,63.0,3.0,2.0,3.0,10.0,8.0,5.0,14.0,13.0,,5.0
186,三浦　大輔,,62.0,,,3.0,6.0,6.0,13.0,9.0,6.0,8.0,11.0
539,唐川　侑己,ロッテ,62.0,3.0,10.0,6.0,4.0,9.0,11.0,2.0,6.0,3.0,8.0
185,野上　亮磨,巨人,60.0,4.0,10.0,9.0,7.0,10.0,7.0,5.0,1.0,2.0,5.0
782,則本　昂大,楽天,57.0,10.0,7.0,11.0,11.0,10.0,8.0,,,,
459,吉川　光夫,巨人,56.0,4.0,3.0,6.0,8.0,4.0,15.0,5.0,5.0,4.0,2.0
235,美馬　学,楽天,55.0,6.0,8.0,9.0,7.0,9.0,5.0,10.0,1.0,,
904,久保　康友,,55.0,,2.0,8.0,7.0,6.0,4.0,7.0,8.0,5.0,8.0
482,中田　賢一,ソフトバンク,53.0,3.0,6.0,3.0,7.0,7.0,6.0,10.0,3.0,4.0,4.0
487,ディクソン,オリックス,53.0,6.0,9.0,11.0,9.0,10.0,8.0,,,,
65,辛島　航,楽天,53.0,8.0,8.0,7.0,7.0,13.0,4.0,5.0,,1.0,0.0
111,大野　雄大,中日,53.0,3.0,8.0,10.0,10.0,8.0,10.0,3.0,1.0,,
404,山井　大介,中日,51.0,6.0,0.0,8.0,12.0,5.0,6.0,3.0,3.0,4.0,4.0
17,牧田　和久,,49.0,,3.0,1.0,11.0,9.0,9.0,9.0,7.0,,
732,攝津　正,ソフトバンク,49.0,4.0,2.0,2.0,7.0,8.0,8.0,5.0,8.0,3.0,2.0
613,武田　勝,,48.0,,,0.0,2.0,4.0,7.0,7.0,12.0,7.0,9.0
682,井納　翔一,DeNA,48.0,3.0,10.0,11.0,8.0,9.0,7.0,,,,
188,塩見　貴洋,楽天,47.0,3.0,3.0,10.0,5.0,7.0,,10.0,9.0,,
676,澤村　拓一,巨人,47.0,6.0,,4.0,3.0,3.0,10.0,10.0,11.0,,
160,吉見　一起,中日,47.0,5.0,7.0,7.0,0.0,1.0,4.0,4.0,3.0,9.0,7.0
290,山口　俊,巨人,47.0,8.0,1.0,5.0,6.0,5.0,2.0,2.0,6.0,8.0,4.0
208,菊池　雄星,西武,46.0,4.0,6.0,7.0,10.0,11.0,4.0,3.0,1.0,,
746,平野　佳寿,,45.0,,7.0,4.0,3.0,6.0,5.0,4.0,2.0,2.0,12.0
383,バリントン,,45.0,,,,3.0,8.0,9.0,14.0,11.0,,
60,大竹　寛,巨人,45.0,1.0,4.0,6.0,4.0,6.0,10.0,5.0,1.0,0.0,8.0
413,野村　祐輔,広島,44.0,3.0,5.0,3.0,8.0,8.0,6.0,11.0,,,
395,村中　恭兵,ヤクルト,43.0,0.0,0.0,3.0,,2.0,9.0,7.0,6.0,10.0,6.0
665,寺原　隼人,ソフトバンク,42.0,0.0,2.0,1.0,3.0,4.0,7.0,8.0,10.0,,7.0
542,近藤　一樹,ヤクルト,42.0,3.0,4.0,,4.0,1.0,0.0,1.0,7.0,10.0,12.0
407,石川　歩,ロッテ,41.0,5.0,11.0,5.0,12.0,8.0,,,,,
202,十亀　剣,西武,41.0,8.0,7.0,6.0,7.0,5.0,8.0,0.0,,,
349,杉内　俊哉,,41.0,,,,6.0,6.0,6.0,4.0,7.0,7.0,5.0
177,藤浪　晋太郎,阪神,40.0,3.0,5.0,11.0,7.0,8.0,6.0,,,,
538,菅野　智之,巨人,40.0,7.0,5.0,6.0,11.0,5.0,6.0,,,,
650,小川　泰弘,ヤクルト,39.0,5.0,7.0,9.0,8.0,6.0,4.0,,,,
286,木佐貫　洋,,39.0,,,,0.0,3.0,8.0,9.0,7.0,12.0,0.0
553,ウルフ,西武,39.0,3.0,4.0,0.0,1.0,2.0,6.0,9.0,11.0,3.0,
763,渡辺　俊介,,38.0,,,,,,4.0,4.0,9.0,8.0,13.0
252,高崎　健太郎,,37.0,,0.0,,3.0,3.0,5.0,10.0,15.0,1.0,0.0
627,大隣　憲司,ロッテ,37.0,1.0,1.0,0.0,4.0,1.0,3.0,8.0,0.0,9.0,10.0
460,田島　慎二,中日,37.0,4.0,5.0,4.0,6.0,5.0,10.0,3.0,,,
